批次,编号,名称,目录,文件名,比例,生成尺寸,成品尺寸,状态
0,B00,风格基准图 静物无角色,原图/00-风格基准,参考_风格基准图.png,1:1,1024x1024,1024x1024,已合格
1,C01,主角三视图 正侧背,原图/01-主角,角色_刘看山_三视图.png,1:1,1024x1024,32x48,已合格
1,C02,主角行走4帧,原图/01-主角,角色_刘看山_行走4帧.png,1:1,1024x1024,128x48,已合格
1,C03,主角动作6帧,原图/01-主角,角色_刘看山_动作6帧.png,1:1,1024x1024,192x48,已合格
1,C04,主角头像6表情,原图/01-主角,角色_刘看山_表情头像6个.png,1:1,1024x1024,96x96,已合格
2,F01,刘看山体系全家福6人,原图/02-全家福,角色_全家福6人.png,16:9,1920x1080,1920x1080,已合格
3,N01,学长 两年后的他,原图/03-其他角色,角色_学长_设定总表.png,1:1,1024x1024,32x48,已合格
3,N02,面试官HR,原图/03-其他角色,角色_面试官_设定总表.png,1:1,1024x1024,32x48,已合格
3,N03,背景群像3人,原图/03-其他角色,角色_背景群像3人.png,1:1,1024x1024,32x48,已合格
3,N04,林总 老板总监,原图/03-其他角色,角色_林总_三视图.png,1:1,1024x1024,32x48,已合格
3,N05,周岚 主管带教,原图/03-其他角色,角色_周岚_三视图.png,1:1,1024x1024,32x48,已合格
3,N06,阿麦 同期同事,原图/03-其他角色,角色_阿麦_三视图.png,1:1,1024x1024,32x48,已合格
3,N07,韩策 技术同事,原图/03-其他角色,角色_韩策_三视图.png,1:1,1024x1024,32x48,已合格
3,N08,小鹿 校园方向同事,原图/03-其他角色,角色_小鹿_三视图.png,1:1,1024x1024,32x48,已合格
3,N09,客户 程女士 灰蓝毛,原图/03-其他角色,角色_客户_三视图.png,1:1,1024x1024,32x48,已合格
4,S01,招聘会大厅 横版,原图/04-场景,背景_招聘会_横版.png,16:9,1920x1080,512x288,已合格
4,S02,招聘会大厅 竖版,原图/04-场景,背景_招聘会_竖版.png,9:16,1080x1920,288x512,已合格
4,S03,出租屋夜景 横版,原图/04-场景,背景_出租屋_横版.png,16:9,1920x1080,512x288,已合格
4,S03b,出租屋夜景 竖版,原图/04-场景,背景_出租屋_竖版.png,9:16,1080x1920,288x512,已合格
